host_id,listing_count,host_rank,cumulative_listing_count,cumulative_listing_share_percentage,cumulative_host_share_percentage
70790155,1,366,2701,87.21343235389087,48.031496062992126
69886637,1,367,2702,87.2457216661285,48.16272965879265
67860905,1,368,2703,87.27801097836615,48.29396325459317
67840264,1,369,2704,87.31030029060382,48.4251968503937
66443986,1,370,2705,87.34258960284146,48.55643044619423
65893484,1,371,2706,87.37487891507911,48.68766404199475
108219571,1,372,2707,87.40716822731676,48.818897637795274
107909050,1,373,2708,87.43945753955441,48.9501312335958
107642461,1,374,2709,87.47174685179205,49.08136482939632
106363186,1,375,2710,87.50403616402971,49.21259842519685
106191222,1,376,2711,87.53632547626735,49.343832020997375
105546293,1,377,2712,87.568614788505,49.4750656167979
105253694,1,378,2713,87.60090410074265,49.60629921259843
129064266,1,379,2714,87.6331934129803,49.737532808398946
128980349,1,380,2715,87.66548272521796,49.86876640419948
128366539,1,381,2716,87.69777203745561,50.0
127346104,1,382,2717,87.73006134969326,50.13123359580053
126914776,1,383,2718,87.7623506619309,50.26246719160105
126899795,1,384,2719,87.79463997416855,50.39370078740157
126446203,1,385,2720,87.8269292864062,50.5249343832021
122991242,1,386,2721,87.85921859864385,50.65616797900262
122468322,1,387,2722,87.8915079108815,50.78740157480315
122219616,1,388,2723,87.92379722311915,50.91863517060368
119614575,1,389,2724,87.95608653535679,51.0498687664042
117401338,1,390,2725,87.98837584759444,51.181102362204726
112817803,1,391,2726,88.0206651598321,51.31233595800525
111265991,1,392,2727,88.05295447206974,51.44356955380578
109545738,1,393,2728,88.0852437843074,51.574803149606296
109043317,1,394,2729,88.11753309654505,51.70603674540683
129356836,1,395,2730,88.1498224087827,51.83727034120735
65541338,1,396,2731,88.18211172102033,51.96850393700787
65322694,1,397,2732,88.214401033258,52.0997375328084
63217724,1,398,2733,88.24669034549564,52.23097112860893
63207270,1,399,2734,88.27897965773329,52.362204724409445
63180047,1,400,2735,88.31126896997094,52.493438320209975
63152849,1,401,2736,88.34355828220859,52.6246719160105
61415440,1,402,2737,88.37584759444623,52.75590551181102
61230299,1,403,2738,88.4081369066839,52.887139107611546
60720370,1,404,2739,88.44042621892154,53.018372703412076
60327060,1,405,2740,88.47271553115918,53.14960629921261
60202360,1,406,2741,88.50500484339683,53.28083989501312
59882845,1,407,2742,88.53729415563448,53.41207349081365
59454953,1,408,2743,88.56958346787214,53.54330708661418
59100262,1,409,2744,88.60187278010979,53.674540682414694
58541664,1,410,2745,88.63416209234744,53.805774278215225
156754281,1,411,2746,88.66645140458508,53.937007874015755
154321101,1,412,2747,88.69874071682273,54.06824146981627
149873393,1,413,2748,88.73103002906038,54.199475065616795
149374360,1,414,2749,88.76331934129803,54.330708661417326
149095282,1,415,2750,88.79560865353568,54.46194225721784
148161274,1,416,2751,88.82789796577333,54.59317585301837
147912349,1,417,2752,88.86018727801098,54.7244094488189
145421414,1,418,2753,88.89247659024862,54.85564304461942
144358326,1,419,2754,88.92476590248629,54.98687664041994
141194639,1,420,2755,88.95705521472392,55.118110236220474
137302887,1,421,2756,88.98934452696157,55.249343832021005
136518035,1,422,2757,89.02163383919923,55.38057742782152
136026521,1,423,2758,89.05392315143688,55.51181102362205
135778052,1,424,2759,89.08621246367451,55.643044619422575
135147630,1,425,2760,89.11850177591218,55.77427821522309
131052744,1,426,2761,89.15079108814983,55.90551181102362
167947458,1,427,2762,89.18308040038747,56.03674540682415
167203844,1,428,2763,89.21536971262512,56.16797900262467
163103462,1,429,2764,89.24765902486277,56.2992125984252
57612875,1,430,2765,89.27994833710042,56.43044619422572
56421978,1,431,2766,89.31223764933807,56.56167979002624
56265371,1,432,2767,89.34452696157572,56.69291338582677
55973390,1,433,2768,89.37681627381336,56.8241469816273
54050593,1,434,2769,89.40910558605101,56.95538057742782
53570166,1,435,2770,89.44139489828866,57.08661417322835
52593645,1,436,2771,89.47368421052632,57.21784776902887
51312096,1,437,2772,89.50597352276397,57.3490813648294
50612894,1,438,2773,89.53826283500162,57.48031496062992
50100418,1,439,2774,89.57055214723927,57.61154855643045
160352841,1,440,2775,89.6028414594769,57.74278215223097
158158038,1,441,2776,89.63513077171457,57.874015748031496
158041907,1,442,2777,89.66742008395221,58.00524934383202
202657701,1,443,2778,89.69970939618986,58.13648293963255
199928502,1,444,2779,89.73199870842751,58.26771653543307
198970065,1,445,2780,89.76428802066516,58.3989501312336
197863163,1,446,2781,89.7965773329028,58.53018372703412
197843965,1,447,2782,89.82886664514047,58.661417322834644
192856795,1,448,2783,89.8611559573781,58.79265091863517
192654207,1,449,2784,89.89344526961575,58.9238845144357
188842185,1,450,2785,89.9257345818534,59.055118110236215
187856464,1,451,2786,89.95802389409106,59.186351706036746
186742615,1,452,2787,89.99031320632871,59.31758530183727
186368904,1,453,2788,90.02260251856636,59.4488188976378
182525420,1,454,2789,90.05489183080401,59.580052493438316
178726014,1,455,2790,90.08718114304165,59.71128608923885
177788419,1,456,2791,90.1194704552793,59.84251968503938
176867619,1,457,2792,90.15175976751695,59.973753280839894
173904781,1,458,2793,90.1840490797546,60.10498687664042
216737476,1,459,2794,90.21633839199225,60.23622047244095
48909975,1,460,2795,90.2486277042299,60.367454068241464
48816092,1,461,2796,90.28091701646755,60.498687664041995
48751387,1,462,2797,90.31320632870519,60.629921259842526
48641401,1,463,2798,90.34549564094286,60.76115485564304
48640001,1,464,2799,90.3777849531805,60.892388451443566
48396836,1,465,2800,90.41007426541815,61.023622047244096
48018398,1,466,2801,90.4423635776558,61.15485564304461
47611818,1,467,2802,90.47465288989345,61.28608923884514
47422706,1,468,2803,90.50694220213109,61.417322834645674
47298338,1,469,2804,90.53923151436875,61.5485564304462
46746027,1,470,2805,90.57152082660639,61.679790026246714
214474787,1,471,2806,90.60381013884404,61.811023622047244
211943606,1,472,2807,90.63609945108169,61.942257217847775
209627746,1,473,2808,90.66838876331934,62.07349081364829
206242525,1,474,2809,90.700678075557,62.20472440944882
45810508,1,475,2810,90.73296738779464,62.335958005249346
44703717,1,476,2811,90.7652567000323,62.46719160104986
44321809,1,477,2812,90.79754601226993,62.59842519685039
43780531,1,478,2813,90.82983532450758,62.72965879265092
43779222,1,479,2814,90.86212463674524,62.86089238845144
43009711,1,480,2815,90.89441394898289,62.99212598425197
42655674,1,481,2816,90.92670326122054,63.123359580052494
41875762,1,482,2817,90.95899257345819,63.25459317585301
41383223,1,483,2818,90.99128188569583,63.38582677165354
231293658,1,484,2819,91.02357119793348,63.51706036745407
229617427,1,485,2820,91.05586051017114,63.6482939632546
228321955,1,486,2821,91.08814982240878,63.77952755905512
226861436,1,487,2822,91.12043913464643,63.91076115485564
225705538,1,488,2823,91.15272844688408,64.04199475065617
220368734,1,489,2824,91.18501775912173,64.1732283464567
219125762,1,490,2825,91.21730707135937,64.30446194225722
285197596,1,491,2826,91.24959638359704,64.43569553805774
276304273,1,492,2827,91.28188569583467,64.56692913385827
275261096,1,493,2828,91.31417500807233,64.69816272965879
274002237,1,494,2829,91.34646432030998,64.82939632545933
272468399,1,495,2830,91.37875363254763,64.96062992125984
265978206,1,496,2831,91.41104294478528,65.09186351706036
263039672,1,497,2832,91.44333225702293,65.2230971128609
253172592,1,498,2833,91.47562156926058,65.35433070866141
252274843,1,499,2834,91.50791088149822,65.48556430446195
251899721,1,500,2835,91.54020019373587,65.61679790026247
250308470,1,501,2836,91.57248950597352,65.74803149606299
247587163,1,502,2837,91.60477881821117,65.87926509186352
238195069,1,503,2838,91.63706813044882,66.01049868766404
237131449,1,504,2839,91.66935744268648,66.14173228346458
46116154,1,505,2840,91.70164675492411,66.27296587926509
45955773,1,506,2841,91.73393606716176,66.40419947506561
307450836,1,507,2842,91.76622537939943,66.53543307086615
41234655,1,508,2843,91.79851469163707,66.66666666666666
40912923,1,509,2844,91.83080400387472,66.7979002624672
40375561,1,510,2845,91.86309331611237,66.92913385826772
40006755,1,511,2846,91.89538262835002,67.06036745406824
39343992,1,512,2847,91.92767194058766,67.19160104986877
39149468,1,513,2848,91.95996125282532,67.32283464566929
38761662,1,514,2849,91.99225056506296,67.45406824146981
38402401,1,515,2850,92.02453987730061,67.58530183727034
37646474,1,516,2851,92.05682918953826,67.71653543307087
37512810,1,517,2852,92.08911850177591,67.8477690288714
36773968,1,518,2853,92.12140781401355,67.97900262467192
36416351,1,519,2854,92.15369712625122,68.11023622047244
36250439,1,520,2855,92.18598643848887,68.24146981627297
292851196,1,521,2856,92.2182757507265,68.37270341207349
290685432,1,522,2857,92.25056506296416,68.50393700787401
329805371,1,523,2858,92.28285437520181,68.63517060367454
35833085,1,524,2859,92.31514368743946,68.76640419947506
35444289,1,525,2860,92.34743299967711,68.89763779527559
34008599,1,526,2861,92.37972231191476,69.02887139107612
33944993,1,527,2862,92.4120116241524,69.16010498687663
32683666,1,528,2863,92.44430093639005,69.29133858267717
32095639,1,529,2864,92.4765902486277,69.4225721784777
31940201,1,530,2865,92.50887956086535,69.5538057742782
31146002,1,531,2866,92.541168873103,69.68503937007874
328275828,1,532,2867,92.57345818534066,69.81627296587926
326217063,1,533,2868,92.6057474975783,69.9475065616798
326052379,1,534,2869,92.63803680981594,70.07874015748031
319617044,1,535,2870,92.67032612205361,70.20997375328083
312575080,1,536,2871,92.70261543429125,70.34120734908137
311294849,1,537,2872,92.7349047465289,70.47244094488188
